job,half,arm,fallback_level,n_row_entries,share_of_arm_half
V1__near_duplicate_key,confirmation,B7,B2:family,1632,0.306249
V1__near_duplicate_key,confirmation,B7,B2:system,41,0.00769375
V1__near_duplicate_key,confirmation,B7,B3,7,0.00131357
V1__near_duplicate_key,confirmation,B7,B3x,13,0.00243948
V1__near_duplicate_key,confirmation,B7,B7,3388,0.635767
V1__near_duplicate_key,selection,B0,B0,5246,1
V1__near_duplicate_key,selection,B1,B0,14,0.0026687
V1__near_duplicate_key,selection,B1,B1:element_unknown_state,33,0.00629051
V1__near_duplicate_key,selection,B1,B1:state,5199,0.991041
V1__near_duplicate_key,selection,B2,B0,111,0.021159
V1__near_duplicate_key,selection,B2,B2:expert,180,0.0343119
V1__near_duplicate_key,selection,B2,B2:family,1575,0.300229
V1__near_duplicate_key,selection,B2,B2:system,3380,0.6443
V1__near_duplicate_key,selection,B3,B3,3019,0.575486
V1__near_duplicate_key,selection,B3,B3l,1866,0.3557
V1__near_duplicate_key,selection,B3,B3x,361,0.0688143
V1__near_duplicate_key,selection,B3i,B0,111,0.021159
V1__near_duplicate_key,selection,B3i,B2:expert,180,0.0343119
V1__near_duplicate_key,selection,B3i,B2:family,1575,0.300229
V1__near_duplicate_key,selection,B3i,B3,3019,0.575486
V1__near_duplicate_key,selection,B3i,B3i,115,0.0219215
V1__near_duplicate_key,selection,B3i,B3x,246,0.0468929
V1__near_duplicate_key,selection,B3l,B2:system,47,0.00895921
V1__near_duplicate_key,selection,B3l,B3,3019,0.575486
V1__near_duplicate_key,selection,B3l,B3l,2180,0.415555
V1__near_duplicate_key,selection,B3x,B0,111,0.021159
V1__near_duplicate_key,selection,B3x,B2:expert,180,0.0343119
V1__near_duplicate_key,selection,B3x,B2:family,1575,0.300229
V1__near_duplicate_key,selection,B3x,B3,3019,0.575486
V1__near_duplicate_key,selection,B3x,B3x,361,0.0688143
V1__near_duplicate_key,selection,B4,B4,3019,0.575486
V1__near_duplicate_key,selection,B4,B4l,1866,0.3557
V1__near_duplicate_key,selection,B4,B4x,361,0.0688143
V1__near_duplicate_key,selection,B4l,B2:system,47,0.00895921
V1__near_duplicate_key,selection,B4l,B4,3019,0.575486
V1__near_duplicate_key,selection,B4l,B4l,2180,0.415555
V1__near_duplicate_key,selection,B4x,B0,111,0.021159
V1__near_duplicate_key,selection,B4x,B2:expert,180,0.0343119
V1__near_duplicate_key,selection,B4x,B2:family,1575,0.300229
V1__near_duplicate_key,selection,B4x,B4,3019,0.575486
V1__near_duplicate_key,selection,B4x,B4x,361,0.0688143
V1__near_duplicate_key,selection,B7,B0,111,0.021159
V1__near_duplicate_key,selection,B7,B2:expert,180,0.0343119
V1__near_duplicate_key,selection,B7,B2:family,1575,0.300229
V1__near_duplicate_key,selection,B7,B3,229,0.0436523
V1__near_duplicate_key,selection,B7,B7,3151,0.600648
V1__compilation_doi,confirmation,B0,B0,5329,1
V1__compilation_doi,confirmation,B1,B0,151,0.0283355
V1__compilation_doi,confirmation,B1,B1:element_unknown_state,44,0.00825671
V1__compilation_doi,confirmation,B1,B1:state,5134,0.963408
V1__compilation_doi,confirmation,B2,B2:expert,248,0.0465378
V1__compilation_doi,confirmation,B2,B2:family,2861,0.536874
V1__compilation_doi,confirmation,B2,B2:system,2220,0.416588
V1__compilation_doi,confirmation,B3,B2:family,160,0.0300244
V1__compilation_doi,confirmation,B3,B3,1555,0.2918
V1__compilation_doi,confirmation,B3,B3l,2963,0.556014
V1__compilation_doi,confirmation,B3,B3x,651,0.122162
V1__compilation_doi,confirmation,B3i,B2:expert,248,0.0465378
V1__compilation_doi,confirmation,B3i,B2:family,2861,0.536874
V1__compilation_doi,confirmation,B3i,B2:system,14,0.00262713
V1__compilation_doi,confirmation,B3i,B3,1555,0.2918
V1__compilation_doi,confirmation,B3i,B3i,115,0.02158
V1__compilation_doi,confirmation,B3i,B3x,536,0.100582
V1__compilation_doi,confirmation,B3l,B2:family,160,0.0300244
V1__compilation_doi,confirmation,B3l,B2:system,35,0.00656784
V1__compilation_doi,confirmation,B3l,B3,1555,0.2918
V1__compilation_doi,confirmation,B3l,B3l,3579,0.671608
V1__compilation_doi,confirmation,B3x,B2:expert,248,0.0465378
V1__compilation_doi,confirmation,B3x,B2:family,2861,0.536874
V1__compilation_doi,confirmation,B3x,B2:system,14,0.00262713
V1__compilation_doi,confirmation,B3x,B3,1555,0.2918
V1__compilation_doi,confirmation,B3x,B3x,651,0.122162
V1__compilation_doi,confirmation,B4,B2:family,160,0.0300244
V1__compilation_doi,confirmation,B4,B4,1555,0.2918
V1__compilation_doi,confirmation,B4,B4l,2963,0.556014
V1__compilation_doi,confirmation,B4,B4x,651,0.122162
V1__compilation_doi,confirmation,B4l,B2:family,160,0.0300244
V1__compilation_doi,confirmation,B4l,B2:system,35,0.00656784
V1__compilation_doi,confirmation,B4l,B4,1555,0.2918
V1__compilation_doi,confirmation,B4l,B4l,3579,0.671608
V1__compilation_doi,confirmation,B4x,B2:expert,248,0.0465378
V1__compilation_doi,confirmation,B4x,B2:family,2861,0.536874
V1__compilation_doi,confirmation,B4x,B2:system,14,0.00262713
V1__compilation_doi,confirmation,B4x,B4,1555,0.2918
V1__compilation_doi,confirmation,B4x,B4x,651,0.122162
V1__compilation_doi,confirmation,B7,B2:expert,248,0.0465378
V1__compilation_doi,confirmation,B7,B2:family,2861,0.536874
V1__compilation_doi,confirmation,B7,B2:system,14,0.00262713
V1__compilation_doi,confirmation,B7,B3,7,0.00131357
V1__compilation_doi,confirmation,B7,B3x,13,0.00243948
V1__compilation_doi,confirmation,B7,B7,2186,0.410208
V1__compilation_doi,selection,B0,B0,5246,1
V1__compilation_doi,selection,B1,B0,18,0.00343119
V1__compilation_doi,selection,B1,B1:element_unknown_state,33,0.00629051
V1__compilation_doi,selection,B1,B1:state,5195,0.990278
V1__compilation_doi,selection,B2,B0,111,0.021159
V1__compilation_doi,selection,B2,B2:expert,180,0.0343119
V1__compilation_doi,selection,B2,B2:family,2095,0.399352
V1__compilation_doi,selection,B2,B2:system,2860,0.545177
V1__compilation_doi,selection,B3,B2:family,4,0.000762486
V1__compilation_doi,selection,B3,B3,2558,0.48761
V1__compilation_doi,selection,B3,B3l,2382,0.45406
V1__compilation_doi,selection,B3,B3x,302,0.0575677
V1__compilation_doi,selection,B3i,B0,111,0.021159
V1__compilation_doi,selection,B3i,B2:expert,180,0.0343119
V1__compilation_doi,selection,B3i,B2:family,2095,0.399352
V1__compilation_doi,selection,B3i,B3,2558,0.48761
V1__compilation_doi,selection,B3i,B3i,115,0.0219215
V1__compilation_doi,selection,B3i,B3x,187,0.0356462
V1__compilation_doi,selection,B3l,B2:family,4,0.000762486
V1__compilation_doi,selection,B3l,B2:system,47,0.00895921
V1__compilation_doi,selection,B3l,B3,2558,0.48761
V1__compilation_doi,selection,B3l,B3l,2637,0.502669
V1__compilation_doi,selection,B3x,B0,111,0.021159
V1__compilation_doi,selection,B3x,B2:expert,180,0.0343119
V1__compilation_doi,selection,B3x,B2:family,2095,0.399352
V1__compilation_doi,selection,B3x,B3,2558,0.48761
V1__compilation_doi,selection,B3x,B3x,302,0.0575677
V1__compilation_doi,selection,B4,B2:family,4,0.000762486
V1__compilation_doi,selection,B4,B4,2558,0.48761
V1__compilation_doi,selection,B4,B4l,2382,0.45406
V1__compilation_doi,selection,B4,B4x,302,0.0575677
V1__compilation_doi,selection,B4l,B2:family,4,0.000762486
V1__compilation_doi,selection,B4l,B2:system,47,0.00895921
V1__compilation_doi,selection,B4l,B4,2558,0.48761
V1__compilation_doi,selection,B4l,B4l,2637,0.502669
V1__compilation_doi,selection,B4x,B0,111,0.021159
V1__compilation_doi,selection,B4x,B2:expert,180,0.0343119
V1__compilation_doi,selection,B4x,B2:family,2095,0.399352
V1__compilation_doi,selection,B4x,B4,2558,0.48761
V1__compilation_doi,selection,B4x,B4x,302,0.0575677
V1__compilation_doi,selection,B7,B0,111,0.021159
V1__compilation_doi,selection,B7,B2:expert,180,0.0343119
V1__compilation_doi,selection,B7,B2:family,2095,0.399352
V1__compilation_doi,selection,B7,B3,229,0.0436523
V1__compilation_doi,selection,B7,B7,2631,0.501525
V1__sr_iii_dropped_training,confirmation,B0,B0,5329,1
V1__sr_iii_dropped_training,confirmation,B1,B0,45,0.00844436
V1__sr_iii_dropped_training,confirmation,B1,B1:element_unknown_state,27,0.00506662
V1__sr_iii_dropped_training,confirmation,B1,B1:state,5257,0.986489
V1__sr_iii_dropped_training,confirmation,B2,B2:expert,248,0.0465378
V1__sr_iii_dropped_training,confirmation,B2,B2:family,1475,0.276787
V1__sr_iii_dropped_training,confirmation,B2,B2:system,3606,0.676675
V1__sr_iii_dropped_training,confirmation,B3,B2:family,27,0.00506662
V1__sr_iii_dropped_training,confirmation,B3,B2:system,27,0.00506662
V1__sr_iii_dropped_training,confirmation,B3,B3,2785,0.522612
V1__sr_iii_dropped_training,confirmation,B3,B3l,1710,0.320886
V1__sr_iii_dropped_training,confirmation,B3,B3x,780,0.146369
V1__sr_iii_dropped_training,confirmation,B3i,B2:expert,248,0.0465378
V1__sr_iii_dropped_training,confirmation,B3i,B2:family,1475,0.276787
V1__sr_iii_dropped_training,confirmation,B3i,B2:system,41,0.00769375
V1__sr_iii_dropped_training,confirmation,B3i,B3,2785,0.522612
V1__sr_iii_dropped_training,confirmation,B3i,B3i,133,0.0249578
V1__sr_iii_dropped_training,confirmation,B3i,B3x,647,0.121411
V1__sr_iii_dropped_training,confirmation,B3l,B2:family,27,0.00506662
V1__sr_iii_dropped_training,confirmation,B3l,B2:system,45,0.00844436
V1__sr_iii_dropped_training,confirmation,B3l,B3,2785,0.522612
V1__sr_iii_dropped_training,confirmation,B3l,B3l,2472,0.463877
V1__sr_iii_dropped_training,confirmation,B3x,B2:expert,248,0.0465378
V1__sr_iii_dropped_training,confirmation,B3x,B2:family,1475,0.276787
V1__sr_iii_dropped_training,confirmation,B3x,B2:system,41,0.00769375
V1__sr_iii_dropped_training,confirmation,B3x,B3,2785,0.522612
V1__sr_iii_dropped_training,confirmation,B3x,B3x,780,0.146369
V1__sr_iii_dropped_training,confirmation,B4,B2:family,27,0.00506662
V1__sr_iii_dropped_training,confirmation,B4,B2:system,27,0.00506662
V1__sr_iii_dropped_training,confirmation,B4,B4,2785,0.522612
V1__sr_iii_dropped_training,confirmation,B4,B4l,1710,0.320886
V1__sr_iii_dropped_training,confirmation,B4,B4x,780,0.146369
V1__sr_iii_dropped_training,confirmation,B4l,B2:family,27,0.00506662
V1__sr_iii_dropped_training,confirmation,B4l,B2:system,45,0.00844436
V1__sr_iii_dropped_training,confirmation,B4l,B4,2785,0.522612
V1__sr_iii_dropped_training,confirmation,B4l,B4l,2472,0.463877
V1__sr_iii_dropped_training,confirmation,B4x,B2:expert,248,0.0465378
V1__sr_iii_dropped_training,confirmation,B4x,B2:family,1475,0.276787
V1__sr_iii_dropped_training,confirmation,B4x,B2:system,41,0.00769375
V1__sr_iii_dropped_training,confirmation,B4x,B4,2785,0.522612
V1__sr_iii_dropped_training,confirmation,B4x,B4x,780,0.146369
V1__sr_iii_dropped_training,confirmation,B7,B2:expert,248,0.0465378
V1__sr_iii_dropped_training,confirmation,B7,B2:family,1475,0.276787
V1__sr_iii_dropped_training,confirmation,B7,B2:system,41,0.00769375
V1__sr_iii_dropped_training,confirmation,B7,B3,7,0.00131357
V1__sr_iii_dropped_training,confirmation,B7,B3x,13,0.00243948
V1__sr_iii_dropped_training,confirmation,B7,B7,3545,0.665228
V1__sr_iii_dropped_training,selection,B0,B0,5246,1
V1__sr_iii_dropped_training,selection,B1,B0,14,0.0026687
V1__sr_iii_dropped_training,selection,B1,B1:element_unknown_state,28,0.0053374
V1__sr_iii_dropped_training,selection,B1,B1:state,5204,0.991994
V1__sr_iii_dropped_training,selection,B2,B0,111,0.021159
V1__sr_iii_dropped_training,selection,B2,B2:expert,180,0.0343119
V1__sr_iii_dropped_training,selection,B2,B2:family,1575,0.300229
V1__sr_iii_dropped_training,selection,B2,B2:system,3380,0.6443
V1__sr_iii_dropped_training,selection,B3,B3,3028,0.577202
V1__sr_iii_dropped_training,selection,B3,B3l,1866,0.3557
V1__sr_iii_dropped_training,selection,B3,B3x,352,0.0670987
V1__sr_iii_dropped_training,selection,B3i,B0,111,0.021159
V1__sr_iii_dropped_training,selection,B3i,B2:expert,180,0.0343119
V1__sr_iii_dropped_training,selection,B3i,B2:family,1575,0.300229
V1__sr_iii_dropped_training,selection,B3i,B3,3028,0.577202
V1__sr_iii_dropped_training,selection,B3i,B3i,115,0.0219215
V1__sr_iii_dropped_training,selection,B3i,B3x,237,0.0451773
V1__sr_iii_dropped_training,selection,B3l,B2:system,42,0.0080061
V1__sr_iii_dropped_training,selection,B3l,B3,3028,0.577202
V1__sr_iii_dropped_training,selection,B3l,B3l,2176,0.414792
V1__sr_iii_dropped_training,selection,B3x,B0,111,0.021159
V1__sr_iii_dropped_training,selection,B3x,B2:expert,180,0.0343119
V1__sr_iii_dropped_training,selection,B3x,B2:family,1575,0.300229
V1__sr_iii_dropped_training,selection,B3x,B3,3028,0.577202
V1__sr_iii_dropped_training,selection,B3x,B3x,352,0.0670987
V1__sr_iii_dropped_training,selection,B4,B4,3028,0.577202
V1__sr_iii_dropped_training,selection,B4,B4l,1866,0.3557
V1__sr_iii_dropped_training,selection,B4,B4x,352,0.0670987
V1__sr_iii_dropped_training,selection,B4l,B2:system,42,0.0080061
V1__sr_iii_dropped_training,selection,B4l,B4,3028,0.577202
V1__sr_iii_dropped_training,selection,B4l,B4l,2176,0.414792
V1__sr_iii_dropped_training,selection,B4x,B0,111,0.021159
V1__sr_iii_dropped_training,selection,B4x,B2:expert,180,0.0343119
V1__sr_iii_dropped_training,selection,B4x,B2:family,1575,0.300229
V1__sr_iii_dropped_training,selection,B4x,B4,3028,0.577202
V1__sr_iii_dropped_training,selection,B4x,B4x,352,0.0670987
V1__sr_iii_dropped_training,selection,B7,B0,111,0.021159
V1__sr_iii_dropped_training,selection,B7,B2:expert,180,0.0343119
V1__sr_iii_dropped_training,selection,B7,B2:family,1575,0.300229
V1__sr_iii_dropped_training,selection,B7,B3,229,0.0436523
V1__sr_iii_dropped_training,selection,B7,B7,3151,0.600648
V2__state,confirmation,B0,B0,5603,1
V2__state,confirmation,B1,B0,5603,1
V2__state,confirmation,B2,B2:expert,4,0.000713903
V2__state,confirmation,B2,B2:family,179,0.0319472
V2__state,confirmation,B2,B2:system,5420,0.967339
V2__state,confirmation,B3,B2:expert,4,0.000713903
V2__state,confirmation,B3,B2:family,179,0.0319472
V2__state,confirmation,B3,B3x,5420,0.967339
V2__state,confirmation,B3i,B2:expert,4,0.000713903
V2__state,confirmation,B3i,B2:family,179,0.0319472
V2__state,confirmation,B3i,B3i,3228,0.57612
V2__state,confirmation,B3i,B3x,2192,0.391219
V2__state,confirmation,B3l,B2:expert,4,0.000713903
V2__state,confirmation,B3l,B2:family,179,0.0319472
V2__state,confirmation,B3l,B2:system,5420,0.967339
V2__state,confirmation,B3x,B2:expert,4,0.000713903
V2__state,confirmation,B3x,B2:family,179,0.0319472
V2__state,confirmation,B3x,B3x,5420,0.967339
V2__state,confirmation,B4,B0,103,0.018383
V2__state,confirmation,B4,B2:expert,333,0.0594324
V2__state,confirmation,B4,B2:family,1704,0.304123
V2__state,confirmation,B4,B2:system,7,0.00124933
V2__state,confirmation,B4,B4x,3456,0.616812
V2__state,confirmation,B4l,B0,103,0.018383
V2__state,confirmation,B4l,B2:expert,333,0.0594324
V2__state,confirmation,B4l,B2:family,1704,0.304123
V2__state,confirmation,B4l,B2:system,3463,0.618062
V2__state,confirmation,B4x,B0,103,0.018383
V2__state,confirmation,B4x,B2:expert,333,0.0594324
V2__state,confirmation,B4x,B2:family,1704,0.304123
V2__state,confirmation,B4x,B2:system,7,0.00124933
V2__state,confirmation,B4x,B4x,3456,0.616812
V2__state,confirmation,B7,B2:expert,4,0.000713903
V2__state,confirmation,B7,B2:family,179,0.0319472
V2__state,confirmation,B7,B3x,117,0.0208817
V2__state,confirmation,B7,B7,5303,0.946457
V2__state,selection,B0,B0,4543,1
V2__state,selection,B1,B0,4543,1
V2__state,selection,B2,B2:family,149,0.0327977
V2__state,selection,B2,B2:system,4394,0.967202
V2__state,selection,B3,B2:family,149,0.0327977
V2__state,selection,B3,B3x,4394,0.967202
V2__state,selection,B3i,B2:family,149,0.0327977
V2__state,selection,B3i,B3i,1788,0.393573
V2__state,selection,B3i,B3x,2606,0.57363
V2__state,selection,B3l,B2:family,149,0.0327977
V2__state,selection,B3l,B2:system,4394,0.967202
V2__state,selection,B3x,B2:family,149,0.0327977
V2__state,selection,B3x,B3x,4394,0.967202
V2__state,selection,B4,B0,8,0.00176095
V2__state,selection,B4,B2:expert,118,0.025974
V2__state,selection,B4,B2:family,1302,0.286595
V2__state,selection,B4,B2:system,7,0.00154083
V2__state,selection,B4,B4x,3108,0.684129
V2__state,selection,B4l,B0,8,0.00176095
V2__state,selection,B4l,B2:expert,118,0.025974
V2__state,selection,B4l,B2:family,1302,0.286595
V2__state,selection,B4l,B2:system,3115,0.68567
V2__state,selection,B4x,B0,8,0.00176095
V2__state,selection,B4x,B2:expert,118,0.025974
V2__state,selection,B4x,B2:family,1302,0.286595
V2__state,selection,B4x,B2:system,7,0.00154083
V2__state,selection,B4x,B4x,3108,0.684129
V2__state,selection,B7,B2:family,149,0.0327977
V2__state,selection,B7,B3x,14,0.00308166
V2__state,selection,B7,B7,4380,0.964121
V2__sr_iii_dropped_training,confirmation,B0,B0,5603,1
V2__sr_iii_dropped_training,confirmation,B1,B0,5603,1
V2__sr_iii_dropped_training,confirmation,B2,B2:expert,4,0.000713903
V2__sr_iii_dropped_training,confirmation,B2,B2:family,179,0.0319472
V2__sr_iii_dropped_training,confirmation,B2,B2:system,5420,0.967339
V2__sr_iii_dropped_training,confirmation,B3,B2:expert,4,0.000713903
V2__sr_iii_dropped_training,confirmation,B3,B2:family,179,0.0319472
V2__sr_iii_dropped_training,confirmation,B3,B3x,5420,0.967339
V2__sr_iii_dropped_training,confirmation,B3i,B2:expert,4,0.000713903
V2__sr_iii_dropped_training,confirmation,B3i,B2:family,179,0.0319472
V2__sr_iii_dropped_training,confirmation,B3i,B3i,3228,0.57612
V2__sr_iii_dropped_training,confirmation,B3i,B3x,2192,0.391219
V2__sr_iii_dropped_training,confirmation,B3l,B2:expert,4,0.000713903
V2__sr_iii_dropped_training,confirmation,B3l,B2:family,179,0.0319472
V2__sr_iii_dropped_training,confirmation,B3l,B2:system,5420,0.967339
V2__sr_iii_dropped_training,confirmation,B3x,B2:expert,4,0.000713903
V2__sr_iii_dropped_training,confirmation,B3x,B2:family,179,0.0319472
V2__sr_iii_dropped_training,confirmation,B3x,B3x,5420,0.967339
V2__sr_iii_dropped_training,confirmation,B4,B0,103,0.018383
V2__sr_iii_dropped_training,confirmation,B4,B2:expert,333,0.0594324
V2__sr_iii_dropped_training,confirmation,B4,B2:family,1704,0.304123
V2__sr_iii_dropped_training,confirmation,B4,B2:system,7,0.00124933
V2__sr_iii_dropped_training,confirmation,B4,B4x,3456,0.616812
V2__sr_iii_dropped_training,confirmation,B4l,B0,103,0.018383
V2__sr_iii_dropped_training,confirmation,B4l,B2:expert,333,0.0594324
V2__sr_iii_dropped_training,confirmation,B4l,B2:family,1704,0.304123
V2__sr_iii_dropped_training,confirmation,B4l,B2:system,3463,0.618062
V2__sr_iii_dropped_training,confirmation,B4x,B0,103,0.018383
V2__sr_iii_dropped_training,confirmation,B4x,B2:expert,333,0.0594324
V2__sr_iii_dropped_training,confirmation,B4x,B2:family,1704,0.304123
V2__sr_iii_dropped_training,confirmation,B4x,B2:system,7,0.00124933
V2__sr_iii_dropped_training,confirmation,B4x,B4x,3456,0.616812
V2__sr_iii_dropped_training,confirmation,B7,B2:expert,4,0.000713903
V2__sr_iii_dropped_training,confirmation,B7,B2:family,179,0.0319472
V2__sr_iii_dropped_training,confirmation,B7,B3x,117,0.0208817
V2__sr_iii_dropped_training,confirmation,B7,B7,5303,0.946457
V2__sr_iii_dropped_training,selection,B0,B0,4543,1
V2__sr_iii_dropped_training,selection,B1,B0,4543,1
V2__sr_iii_dropped_training,selection,B2,B2:family,149,0.0327977
V2__sr_iii_dropped_training,selection,B2,B2:system,4394,0.967202
V2__sr_iii_dropped_training,selection,B3,B2:family,149,0.0327977
V2__sr_iii_dropped_training,selection,B3,B3x,4394,0.967202
V2__sr_iii_dropped_training,selection,B3i,B2:family,149,0.0327977
V2__sr_iii_dropped_training,selection,B3i,B3i,1788,0.393573
V2__sr_iii_dropped_training,selection,B3i,B3x,2606,0.57363
V2__sr_iii_dropped_training,selection,B3l,B2:family,149,0.0327977
V2__sr_iii_dropped_training,selection,B3l,B2:system,4394,0.967202
V2__sr_iii_dropped_training,selection,B3x,B2:family,149,0.0327977
V2__sr_iii_dropped_training,selection,B3x,B3x,4394,0.967202
V2__sr_iii_dropped_training,selection,B4,B0,8,0.00176095
V2__sr_iii_dropped_training,selection,B4,B2:expert,118,0.025974
V2__sr_iii_dropped_training,selection,B4,B2:family,1302,0.286595
V2__sr_iii_dropped_training,selection,B4,B2:system,7,0.00154083
V2__sr_iii_dropped_training,selection,B4,B4x,3108,0.684129
V2__sr_iii_dropped_training,selection,B4l,B0,8,0.00176095
V2__sr_iii_dropped_training,selection,B4l,B2:expert,118,0.025974
V2__sr_iii_dropped_training,selection,B4l,B2:family,1302,0.286595
V2__sr_iii_dropped_training,selection,B4l,B2:system,3115,0.68567
V2__sr_iii_dropped_training,selection,B4x,B0,8,0.00176095
V2__sr_iii_dropped_training,selection,B4x,B2:expert,118,0.025974
V2__sr_iii_dropped_training,selection,B4x,B2:family,1302,0.286595
V2__sr_iii_dropped_training,selection,B4x,B2:system,7,0.00154083
V2__sr_iii_dropped_training,selection,B4x,B4x,3108,0.684129
V2__sr_iii_dropped_training,selection,B7,B2:family,149,0.0327977
V2__sr_iii_dropped_training,selection,B7,B3x,14,0.00308166
V2__sr_iii_dropped_training,selection,B7,B7,4380,0.964121
