extractant_system_key,system_label,system_family,mechanism,brief_expert,n_organic_extractants,n_model_rows,n_model_rows_known_state,n_metal_states,n_metal_states_ge5_rows,n_elements_any_state,n_ln_iii_states,n_actinide_rows,n_lanthanide_rows,n_publications,n_publication_groups_primary_source_doi,n_acids,acids,measured_in_one_publication_only,metal_states,has_name_structure_conflict,n_model_rows_acidic_coextractant_modifier,n_rows_other_systems_sharing_a_component,n_rows_other_systems_sharing_a_parent_structure,v3_eligible__rows20_states3_members1,v3_eligible__rows20_states3_members2,v3_eligible__rows20_states3_members3,v3_eligible__rows20_states5_members1,v3_eligible__rows20_states5_members2,v3_eligible__rows20_states5_members3,v3_eligible__rows50_states3_members1,v3_eligible__rows50_states3_members2,v3_eligible__rows50_states3_members3,v3_eligible__rows50_states5_members1,v3_eligible__rows50_states5_members2,v3_eligible__rows50_states5_members3,v3_eligible__rows100_states3_members1,v3_eligible__rows100_states3_members2,v3_eligible__rows100_states3_members3,v3_eligible__rows100_states5_members1,v3_eligible__rows100_states5_members2,v3_eligible__rows100_states5_members3,n_rows_known_state,n_condition_keys,n_condition_keys_with_ge2_metal_states,fraction_rows_in_shared_condition_groups,n_state_condition_keys_with_ge2_publications,n_condition_keys_nm,n_condition_keys_with_ge2_metal_states_nm,fraction_rows_in_shared_condition_groups_nm,n_state_condition_keys_with_ge2_publications_nm
CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,tBu-CyMe4-BTBP,n_heterocyclic,SOFT_N_DONOR,E2_neutral_solvating,1,46,46,2,2,2,1,31,15,1,1,1,HNO3,True,Eu(III)|Am(III),False,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,46,30,14,0.652174,0,30,14,0.652174,0
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,D3DODGA,diglycolamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,39,0,0,0,2,0,4,35,3,2,1,HNO3,False,,False,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,
CCCCN(CCCC)C(=O)CCC,DBBA,monoamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,39,39,6,3,4,0,39,0,3,2,1,HNO3,False,Th(IV)|U(VI)|Np(IV)|Np(VI)|Pu(IV)|Pu(VI),False,0,0,0,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,39,31,3,0.282051,0,31,3,0.282051,0
CCCCCCCCN(CCCCCCCC)C(=O)C(CC)CCCC,DOEHA,monoamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,35,35,2,2,2,0,35,0,1,1,1,HNO3,True,U(VI)|Pu(IV),False,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,35,35,0,0,0,35,0,0,0
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](C)O[C@H](CC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,Et-Me-TDDGA-Syn,diglycolamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,34,34,17,3,17,14,20,14,1,1,1,HNO3,True,La(III)|Ce(III)|Pr(III)|Nd(III)|Sm(III)|Eu(III)|Gd(III)|Tb(III)|Dy(III)|Ho(III)|Er(III)|Tm(III)|Yb(III)|Lu(III)|Pu(IV)|Am(III)|Cm(III),False,0,0,11,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,34,19,1,0.470588,0,19,1,0.470588,0
CCCCCCCCN(CCCCCCCC)C(=O)CCCCCCC,DOOA,monoamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,34,34,3,2,3,0,34,0,2,2,1,HNO3,False,Th(IV)|U(VI)|Pu(IV),False,0,0,0,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,34,33,1,0.0588235,0,33,1,0.0588235,0
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](CC)C(=O)N(CCCCCCCC)CCCCCCCC,Et-Me-TODGA-Anti,diglycolamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,32,32,16,3,16,13,19,13,1,1,1,HNO3,True,La(III)|Ce(III)|Pr(III)|Nd(III)|Sm(III)|Gd(III)|Tb(III)|Dy(III)|Ho(III)|Er(III)|Tm(III)|Yb(III)|Lu(III)|Pu(IV)|Am(III)|Cm(III),False,0,0,0,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,32,18,1,0.46875,0,18,1,0.46875,0
Cc1cc(-c2cc(C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,MeCyMe4-BTBP,n_heterocyclic,SOFT_N_DONOR,E2_neutral_solvating,1,32,32,2,2,2,1,16,16,1,1,1,HNO3,True,Eu(III)|Am(III),False,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,32,16,16,1,0,16,16,1,0
CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,CA-BTP,n_heterocyclic,SOFT_N_DONOR,E2_neutral_solvating,1,30,30,15,2,15,14,8,22,2,2,1,HNO3,False,La(III)|Ce(III)|Pr(III)|Nd(III)|Sm(III)|Eu(III)|Gd(III)|Tb(III)|Dy(III)|Ho(III)|Er(III)|Tm(III)|Yb(III)|Lu(III)|Am(III),False,0,0,0,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,30,9,9,1,0,9,9,1,0
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CC(C)(C)C,DEHtBAA,monoamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,29,29,2,2,2,0,29,0,1,1,1,HNO3,True,U(VI)|Pu(IV),False,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,29,29,0,0,0,29,0,0,0
CC12CCC(c3nnc(-c4cccc(-c5cccc(-c6nnc7c(n6)C6(C)CCC7C6(C)C)n5)n4)nc31)C2(C)C,CA-BTBP,n_heterocyclic,SOFT_N_DONOR,E2_neutral_solvating,1,28,28,2,2,2,1,14,14,1,1,1,HNO3,True,Eu(III)|Am(III),False,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,28,12,12,1,0,12,12,1,0
CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-],2-6-bis(dioctylphosphorylmethyl)-1-oxidopyridin-1-ium,phosphine_oxide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,28,28,14,0,14,14,0,28,1,1,2,HCl|HNO3,True,La(III)|Ce(III)|Pr(III)|Nd(III)|Sm(III)|Eu(III)|Gd(III)|Tb(III)|Dy(III)|Ho(III)|Er(III)|Tm(III)|Yb(III)|Lu(III),False,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,28,2,2,1,0,2,2,1,0
CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,6-19-dihexyl-7-8-17-18-tetraphenyl-3-6-19-22-tetrazapentacyclo[12.8.0.02-11.04-9.016-21]docosa-1(22)-2-4(9)-7-10-12-14-16(21)-17-nonaene-5-20-dione,n_heterocyclic,SOFT_N_DONOR,E2_neutral_solvating,1,28,28,14,0,14,14,0,28,1,1,2,HCl|HNO3,True,La(III)|Ce(III)|Pr(III)|Nd(III)|Sm(III)|Eu(III)|Gd(III)|Tb(III)|Dy(III)|Ho(III)|Er(III)|Tm(III)|Yb(III)|Lu(III),False,0,0,0,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,28,2,2,1,0,2,2,1,0
O=C(c1cc(Cl)c2ccc3c(Cl)cc(C(=O)N4CCCC4)nc3c2n1)N1CCCC1,[4-7-dichloro-9-(pyrrolidine-1-carbonyl)-1-10-phenanthrolin-2-yl]-pyrrolidin-1-ylmethanone,pyridine_carboxamide,SOFT_N_DONOR,E2_neutral_solvating,1,28,28,14,0,14,14,0,28,1,1,1,HNO3,True,La(III)|Ce(III)|Pr(III)|Nd(III)|Sm(III)|Eu(III)|Gd(III)|Tb(III)|Dy(III)|Ho(III)|Er(III)|Tm(III)|Yb(III)|Lu(III),False,0,0,0,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,28,2,2,1,0,2,2,1,0
CCCCC(CC)CN(CC(CC)CCCC)C(C)=O,DEHAA,monoamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,27,27,3,2,3,0,27,0,3,3,1,HNO3,False,Th(IV)|U(VI)|Pu(IV),False,0,4,4,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,27,27,0,0,0,21,6,0.444444,0
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](CCC)O[C@@H](CCC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,p-TDDGA-Anti,diglycolamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,27,27,4,4,3,0,27,0,1,1,1,HNO3,True,Pu(III)|Pu(IV)|Am(III)|Cm(III),False,0,0,25,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,27,23,3,0.259259,0,23,3,0.259259,0
CCCCCCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCCCCCC,DEDDdDGA,diglycolamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,26,26,1,1,1,1,0,26,1,1,1,HCl,True,Pr(III),False,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,
CCCCCCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCCCCCC,DPDDdDGA,diglycolamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,26,26,1,1,1,1,0,26,1,1,1,HCl,True,Pr(III),False,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CC,DEHPA,monoamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,25,25,2,2,2,0,25,0,2,2,1,HNO3,False,Th(IV)|U(VI),False,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,25,25,0,0,0,20,5,0.4,0
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,p-TDDGA-Syn,diglycolamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,25,25,15,2,15,13,12,13,1,1,1,HNO3,True,La(III)|Ce(III)|Pr(III)|Nd(III)|Sm(III)|Eu(III)|Gd(III)|Tb(III)|Dy(III)|Ho(III)|Er(III)|Tm(III)|Yb(III)|Pu(IV)|Am(III),False,0,0,27,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,25,12,1,0.56,0,12,1,0.56,0
CCCCCCCCN(CCCCCCCC)C(=O)CN(C)CC(=O)N(CCCCCCCC)CCCCCCCC,MIDOA,amino_polyamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,25,25,4,4,4,0,6,0,1,1,1,HNO3,True,Tc(VII)|Pd(II)|Bi(III)|Pu(IV),False,0,0,0,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,25,25,0,0,0,25,0,0,0
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21|CCCCCCCCN(C)C(=O)C(CCCCCC)(OCC)C(=O)N(C)CCCCCCCC,CyMe4-BTTP|DMDOHEMA,malonamide+n_heterocyclic,MIXED_NEUTRAL,E2_neutral_solvating,2,24,24,2,2,2,1,12,12,1,1,1,HNO3,True,Eu(III)|Am(III),False,0,171,171,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24,12,12,1,0,12,12,1,0
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,5-5-8-8-tetramethyl-3-[6-[6-(5-5-8-8-tetramethyl-6-7-dihydro-1-2-4-benzotriazin-3-yl)-2-pyridinyl]-2-pyridinyl]-6-7-dihydro-1-2-4-benzotriazine,n_heterocyclic,SOFT_N_DONOR,E2_neutral_solvating,1,24,24,15,2,15,14,5,19,2,2,1,HNO3,False,La(III)|Ce(III)|Pr(III)|Nd(III)|Sm(III)|Eu(III)|Gd(III)|Tb(III)|Dy(III)|Ho(III)|Er(III)|Tm(III)|Yb(III)|Lu(III)|Am(III),False,0,0,0,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,24,6,6,1,0,6,6,1,0
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,18b,amino_polyamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,24,24,2,2,2,1,12,12,2,2,1,HNO3,False,Eu(III)|Am(III),False,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24,13,11,0.916667,0,13,11,0.916667,0
CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1,NEA16,diglycolamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,24,24,2,2,2,1,12,12,2,2,1,HNO3,False,Eu(III)|Am(III),False,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24,12,12,1,0,12,12,1,0
CCCCCCCCN(CCCCCCCC)C(=O)COC(C(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1,NEA15,diglycolamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,24,24,2,2,2,1,12,12,2,2,1,HNO3,False,Eu(III)|Am(III),False,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24,12,12,1,0,12,12,1,0
CCCCCCCCN(CCCCCCCC)C(=O)COC(C)C(=O)N(CCCCCCCC)CCCCCCCC,10a,diglycolamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,24,24,2,2,2,1,12,12,2,2,1,HNO3,False,Eu(III)|Am(III),False,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24,12,12,1,0,12,12,1,0
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC|O=C(COCC(=O)N(CCO)CCO)N(CCO)CCO,TODGA|TWE-18,diglycolamide,NEUTRAL_SOLVATING,E2_neutral_solvating,2,24,24,2,2,2,1,12,12,1,1,1,HNO3,True,Eu(III)|Am(III),False,0,3400,3400,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24,12,12,1,0,12,12,1,0
CCCCCCCCN(CCCCCCCC)C(=S)c1ccc2ccc3ccc(C(=S)N(CCCCCCCC)CCCCCCCC)nc3c2n1,T8-PHEN-TAM,pyridine_carboxamide,SOFT_N_DONOR,E2_neutral_solvating,1,24,24,2,2,2,1,12,12,1,1,1,HNO3,True,Eu(III)|Am(III),False,0,16,16,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24,12,12,1,0,12,12,1,0
CCCCN(CCCC)C(=O)COCC(=O)N(CCN(C(=O)COCC(=O)N(CCCC)CCCC)C(C)C)C(C)C,TBi-PE-BisDGA,diglycolamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,24,24,3,3,3,1,18,6,1,1,1,HNO3,True,Eu(III)|Th(IV)|U(VI),False,0,0,0,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24,19,5,0.416667,0,19,5,0.416667,0
CCCCOP(=O)(OCCCC)OCCCC,TBP,neutral_organophosphate,NEUTRAL_SOLVATING,E2_neutral_solvating,1,24,24,4,4,4,0,24,0,1,1,1,HNO3,True,Th(IV)|U(IV)|Pu(IV)|Am(III),False,0,94,94,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24,22,1,0.125,0,22,1,0.125,0
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21,CyMe4-BTTP,n_heterocyclic,SOFT_N_DONOR,E2_neutral_solvating,1,22,22,2,2,2,1,11,11,1,1,1,HNO3,True,Eu(III)|Am(III),False,0,36,36,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,22,11,11,1,0,11,11,1,0
CC1(C)SC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)SC6(C)C)n4)n3)nnc21,Cy5S-Me4-BTBP,n_heterocyclic,SOFT_N_DONOR,E2_neutral_solvating,1,22,22,2,2,2,1,11,11,1,1,1,HNO3,True,Eu(III)|Am(III),False,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,22,11,11,1,0,11,11,1,0
CCCCCCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCCCCCC,DMDDdDGA,diglycolamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,22,22,1,1,1,1,0,22,1,1,1,HCl,True,Pr(III),False,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,
CCCCCCCCCCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCCCCCCCCCC,DBDDdDGA,diglycolamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,22,22,1,1,1,1,0,22,1,1,1,HCl,True,Pr(III),False,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,LL7,diglycolamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,22,22,2,2,2,1,11,11,1,1,1,HNO3,True,Eu(III)|Am(III),False,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,22,13,9,0.818182,0,13,9,0.818182,0
CCCCCCCCN(CCCCCCCC)C(=O)CO,DOHyA,monoamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,20,20,2,2,2,1,10,10,1,1,1,HNO3,True,Eu(III)|Am(III),False,10,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20,20,0,0,0,20,0,0,0
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCc1ccc(CNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc1,LL3,diglycolamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,18,18,2,2,2,1,9,9,1,1,1,HNO3,True,Eu(III)|Am(III),False,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,18,12,6,0.666667,0,12,6,0.666667,0
CCCCCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,DEHHA,monoamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,17,17,3,2,3,0,17,0,2,2,1,HNO3,False,Th(IV)|U(VI)|Pu(IV),False,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,17,16,1,0.117647,0,16,1,0.117647,0
CCCCCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,N-N-bis(2-methylpropyl)-2-[octyl(phenyl)phosphoryl]acetamide,carbamoylmethylphosphine_oxide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,17,17,14,0,14,14,0,17,3,3,1,HNO3,False,La(III)|Ce(III)|Pr(III)|Nd(III)|Sm(III)|Eu(III)|Gd(III)|Tb(III)|Dy(III)|Ho(III)|Er(III)|Tm(III)|Yb(III)|Lu(III),False,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,17,3,2,0.941176,0,3,2,0.941176,0
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N1CCCC1,DOpyrDGA,diglycolamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,16,16,1,1,1,1,0,16,1,1,1,HNO3,True,Eu(III),False,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,cMe2-TODGA,diglycolamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,16,16,16,0,16,14,2,14,1,1,1,HNO3,True,La(III)|Ce(III)|Pr(III)|Nd(III)|Sm(III)|Eu(III)|Gd(III)|Tb(III)|Dy(III)|Ho(III)|Er(III)|Tm(III)|Yb(III)|Lu(III)|Am(III)|Cm(III),False,0,0,80,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,16,2,2,1,0,1,1,1,0
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,tMe2-TODGA,diglycolamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,16,16,16,0,16,14,2,14,1,1,1,HNO3,True,La(III)|Ce(III)|Pr(III)|Nd(III)|Sm(III)|Eu(III)|Gd(III)|Tb(III)|Dy(III)|Ho(III)|Er(III)|Tm(III)|Yb(III)|Lu(III)|Am(III)|Cm(III),False,0,0,80,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,16,2,2,1,0,1,1,1,0
CCCCCCCCN(CCCCCCCC)C(=S)c1ccc2ccc3ccc(C(=S)N(CCCCCCCC)CCCCCCCC)nc3c2n1|Cc1cc(Br)ccc1NC(=O)CCl,T8-PHEN-TAM|Br-Cosan,metallacarborane_anion+pyridine_carboxamide,SYNERGISTIC,E5_synergistic,2,16,16,2,2,2,1,8,8,1,1,1,HNO3,True,Eu(III)|Am(III),True,0,38,38,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,16,8,8,1,0,8,8,1,0
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,DMDdecdDGA,diglycolamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,14,14,14,0,14,14,0,14,1,1,1,HCl,True,La(III)|Ce(III)|Pr(III)|Nd(III)|Sm(III)|Eu(III)|Gd(III)|Tb(III)|Dy(III)|Ho(III)|Er(III)|Tm(III)|Yb(III)|Lu(III),False,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14,1,1,1,0,1,1,1,0
CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC,DMDetHDGA,diglycolamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,14,14,14,0,14,14,0,14,1,1,1,HCl,True,La(III)|Ce(III)|Pr(III)|Nd(III)|Sm(III)|Eu(III)|Gd(III)|Tb(III)|Dy(III)|Ho(III)|Er(III)|Tm(III)|Yb(III)|Lu(III),False,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14,1,1,1,0,1,1,1,0
CCCCCC(CC)C(=O)N(CC(C)C)CC(C)C,DiBEHA,monoamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,14,14,2,2,2,0,14,0,1,1,1,HNO3,True,U(VI)|Pu(IV),False,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14,14,0,0,0,14,0,0,0
CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC,DMDdecHDGA,diglycolamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,14,14,14,0,14,14,0,14,1,1,1,HCl,True,La(III)|Ce(III)|Pr(III)|Nd(III)|Sm(III)|Eu(III)|Gd(III)|Tb(III)|Dy(III)|Ho(III)|Er(III)|Tm(III)|Yb(III)|Lu(III),False,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14,1,1,1,0,1,1,1,0
CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C,cPSNDGA,diglycolamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,14,14,14,0,14,14,0,14,1,1,1,HCl,True,La(III)|Ce(III)|Pr(III)|Nd(III)|Sm(III)|Eu(III)|Gd(III)|Tb(III)|Dy(III)|Ho(III)|Er(III)|Tm(III)|Yb(III)|Lu(III),False,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14,1,1,1,0,1,1,1,0
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COC1CCCN(CCCCCC)C1=O,N-N-didodecyl-2-(1-hexyl-2-oxopiperidin-3-yl)oxyacetamide,diglycolamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,14,14,14,0,14,14,0,14,1,1,1,HNO3,True,La(III)|Ce(III)|Pr(III)|Nd(III)|Sm(III)|Eu(III)|Gd(III)|Tb(III)|Dy(III)|Ho(III)|Er(III)|Tm(III)|Yb(III)|Lu(III),False,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14,1,1,1,0,1,1,1,0
CCCCCCCCN(C(=O)c1ccc2ccc3cccnc3c2n1)c1ccc(C)cc1,N-(4-methylphenyl)-N-octyl-1-10-phenanthroline-2-carboxamide,pyridine_carboxamide,SOFT_N_DONOR,E2_neutral_solvating,1,14,14,14,0,14,14,0,14,1,1,1,HNO3,True,La(III)|Ce(III)|Pr(III)|Nd(III)|Sm(III)|Eu(III)|Gd(III)|Tb(III)|Dy(III)|Ho(III)|Er(III)|Tm(III)|Yb(III)|Lu(III),False,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14,1,1,1,0,1,1,1,0
CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,MMTODGA,diglycolamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,14,14,14,0,14,14,0,14,1,1,1,HCl,True,La(III)|Ce(III)|Pr(III)|Nd(III)|Sm(III)|Eu(III)|Gd(III)|Tb(III)|Dy(III)|Ho(III)|Er(III)|Tm(III)|Yb(III)|Lu(III),False,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14,1,1,1,0,1,1,1,0
CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC,DEDODGA,diglycolamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,14,14,14,0,14,14,0,14,1,1,1,HCl,True,La(III)|Ce(III)|Pr(III)|Nd(III)|Sm(III)|Eu(III)|Gd(III)|Tb(III)|Dy(III)|Ho(III)|Er(III)|Tm(III)|Yb(III)|Lu(III),False,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14,1,1,1,0,1,1,1,0
